"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14300,"LAD@Atl 07:10PM ET",27.433,"LAD"
"SP","Max Scherzer",12800,"Was@Mia 07:10PM ET",22.333,"Was"
"SP","Chris Sale",12000,"LAA@CWS 08:10PM ET",30.650,"CWS"
"SP","David Price",11900,"TB@Bos 07:10PM ET",23.967,"Bos"
"SP","Madison Bumgarner",11600,"Ari@SF 10:15PM ET",16.600,"SF"
"SP","Noah Syndergaard",11600,"NYM@Phi 07:05PM ET",31.867,"NYM"
"SP","José Fernández",11500,"Was@Mia 07:10PM ET",23.167,"Mia"
"SP","Jake Arrieta",11400,"ChC@StL 08:15PM ET",28.433,"ChC"
"SP","Yu Darvish",11300,"Hou@Tex 08:05PM ET",0,"Tex"
"SP","Matt Harvey",11100,"NYM@Phi 07:05PM ET",6.267,"NYM"
"SP","Jacob deGrom",11100,"NYM@Phi 07:05PM ET",24.500,"NYM"
"SP","Stephen Strasburg",11000,"Was@Mia 07:10PM ET",22.875,"Was"
"SP","Zack Greinke",10500,"Ari@SF 10:15PM ET",8.933,"Ari"
"SP","Corey Kluber",10500,"Sea@Cle 06:10PM ET",12.650,"Cle"
"SP","Cole Hamels",10300,"Hou@Tex 08:05PM ET",18.283,"Tex"
"SP","Johnny Cueto",10300,"Ari@SF 10:15PM ET",22.533,"SF"
"SP","Jon Lester",10200,"ChC@StL 08:15PM ET",22.517,"ChC"
"SP","Carlos Carrasco",10200,"Sea@Cle 06:10PM ET",20.725,"Cle"
"SP","Gerrit Cole",10200,"Pit@SD 10:10PM ET",12.100,"Pit"
"SP","Masahiro Tanaka",10000,"Oak@NYY 07:05PM ET",17.450,"NYY"
"SP","Francisco Liriano",9800,"Pit@SD 10:10PM ET",18.975,"Pit"
"SP","Vince Velásquez",9600,"NYM@Phi 07:05PM ET",45.675,"Phi"
"SP","Adam Wainwright",9200,"ChC@StL 08:15PM ET",0.517,"StL"
"SP","Jaime García",9200,"ChC@StL 08:15PM ET",33.375,"StL"
"SP","Jeff Samardzija",9200,"Ari@SF 10:15PM ET",14.233,"SF"
"SP","Carlos Martínez",9200,"ChC@StL 08:15PM ET",20.425,"StL"
"SP","Dallas Keuchel",9100,"Hou@Tex 08:05PM ET",21.167,"Hou"
"SP","Garrett Richards",9000,"LAA@CWS 08:10PM ET",16.450,"LAA"
"SP","Steven Matz",9000,"NYM@Phi 07:05PM ET",10.850,"NYM"
"SP","Kenta Maeda",8900,"LAD@Atl 07:10PM ET",22.450,"LAD"
"SP","Danny Salazar",8900,"Sea@Cle 06:10PM ET",28.150,"Cle"
"SP","Zack Wheeler",8900,"NYM@Phi 07:05PM ET",0,"NYM"
"SP","James Shields",8800,"Pit@SD 10:10PM ET",13.333,"SD"
"SP","Félix Hernández",8800,"Sea@Cle 06:10PM ET",22.233,"Sea"
"SP","Clay Buchholz",8800,"TB@Bos 07:10PM ET",7.217,"Bos"
"SP","Sonny Gray",8800,"Oak@NYY 07:05PM ET",20.367,"Oak"
"SP","Gio González",8700,"Was@Mia 07:10PM ET",22.625,"Was"
"SP","Tyson Ross",8700,"Pit@SD 10:10PM ET",0.800,"SD"
"SP","Carlos Rodon",8700,"LAA@CWS 08:10PM ET",10.533,"CWS"
"SP","Michael Pineda",8600,"Oak@NYY 07:05PM ET",12.275,"NYY"
"SP","Chris Archer",8500,"TB@Bos 07:10PM ET",14.167,"TB"
"SP","Hyun-Jin Ryu",8500,"LAD@Atl 07:10PM ET",0,"LAD"
"SP","José Quintana",8400,"LAA@CWS 08:10PM ET",19.050,"CWS"
"SP","Michael Wacha",8400,"ChC@StL 08:15PM ET",15.450,"StL"
"SP","John Lackey",8300,"ChC@StL 08:15PM ET",23.483,"ChC"
"SP","Scott Kazmir",8300,"LAD@Atl 07:10PM ET",8.967,"LAD"
"SP","Julio Teherán",8300,"LAD@Atl 07:10PM ET",9.083,"Atl"
"SP","Jimmy Nelson",8300,"Mil@Min 01:10PM ET",17.633,"Mil"
"SP","Yordano Ventura",8200,"Det@KC 07:15PM ET",16.875,"KC"
"SP","Justin Verlander",8100,"Det@KC 07:15PM ET",9.717,"Det"
"SP","Ervin Santana",8000,"Mil@Min 01:10PM ET",14.583,"Min"
"SP","Wei-Yin Chen",8000,"Was@Mia 07:10PM ET",10.550,"Mia"
"SP","Patrick Corbin",8000,"Ari@SF 10:15PM ET",16.617,"Ari"
"SP","Drew Smyly",8000,"TB@Bos 07:10PM ET",21.075,"TB"
"SP","Lance McCullers",8000,"Hou@Tex 08:05PM ET",0,"Hou"
"SP","Derek Holland",7900,"Hou@Tex 08:05PM ET",17.525,"Tex"
"SP","Rick Porcello",7900,"TB@Bos 07:10PM ET",21.975,"Bos"
"SP","Shelby Miller",7900,"Ari@SF 10:15PM ET",2.900,"Ari"
"SP","Kyle Hendricks",7900,"ChC@StL 08:15PM ET",18.650,"ChC"
"SP","Aaron Nola",7900,"NYM@Phi 07:05PM ET",17.583,"Phi"
"SP","Brandon McCarthy",7800,"LAD@Atl 07:10PM ET",0,"LAD"
"SP","Jason Hammel",7800,"ChC@StL 08:15PM ET",19.000,"ChC"
"SP","Ian Kennedy",7800,"Det@KC 07:15PM ET",29.375,"KC"
"SP","Luis Severino",7800,"Oak@NYY 07:05PM ET",6.300,"NYY"
"SP","Andrew Cashner",7700,"Pit@SD 10:10PM ET",10.850,"SD"
"SP","Marcus Stroman",7700,"Tor@Bal 07:05PM ET",15.600,"Tor"
"SP","José Berrios",7700,"Mil@Min 01:10PM ET",0,"Min"
"SP","C.J. Wilson",7600,"LAA@CWS 08:10PM ET",0,"LAA"
"SP","Brandon Morrow",7600,"Pit@SD 10:10PM ET",0,"SD"
"SP","Mat Latos",7600,"LAA@CWS 08:10PM ET",20.400,"CWS"
"SP","Eduardo Rodríguez",7600,"TB@Bos 07:10PM ET",0,"Bos"
"SP","Anibal Sánchez",7500,"Det@KC 07:15PM ET",14.083,"Det"
"SP","Bud Norris",7500,"LAD@Atl 07:10PM ET",9.200,"Atl"
"SP","Robbie Ray",7500,"Ari@SF 10:15PM ET",13.475,"Ari"
