"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Matt Cain",5300,"SF@Col 08:40PM ET",11.300,"SF"
"SP","Eric Surkamp",5300,"LAA@Oak 10:05PM ET",6.150,"Oak"
"OF","Mike Trout",5300,"LAA@Oak 10:05PM ET",6.286,"LAA"
"SP","Doug Fister",5200,"KC@Hou 08:10PM ET",17.050,"Hou"
"SP","Chad Bettis",5200,"SF@Col 08:40PM ET",14.775,"Col"
"SP","David Phelps",5200,"Mia@NYM 07:10PM ET",10.425,"Mia"
"OF","Bryce Harper",5200,"Atl@Was 07:05PM ET",15.600,"Was"
"SP","Kendall Graveman",5200,"LAA@Oak 10:05PM ET",13.600,"Oak"
"OF","Hunter Pence",5100,"SF@Col 08:40PM ET",7.571,"SF"
"SP","Matt Shoemaker",5100,"LAA@Oak 10:05PM ET",-7.250,"LAA"
"OF","Giancarlo Stanton",5000,"Mia@NYM 07:10PM ET",11.200,"Mia"
"SP","Tyler Chatwood",5000,"SF@Col 08:40PM ET",17.450,"Col"
"SP","Vance Worley",4900,"Bal@Bos 07:10PM ET",11.700,"Bal"
"3B","Nolan Arenado",4900,"SF@Col 08:40PM ET",8.500,"Col"
"OF","George Springer",4900,"KC@Hou 08:10PM ET",7.857,"Hou"
"SP","Nick Tropeano",4900,"LAA@Oak 10:05PM ET",22.450,"LAA"
"SS","Trevor Story",4900,"SF@Col 08:40PM ET",19.333,"Col"
"1B","David Ortiz",4800,"Bal@Bos 07:10PM ET",12.600,"Bos"
"SP","Danny Duffy",4800,"KC@Hou 08:10PM ET",3.133,"KC"
