"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"OF","Corey Dickerson",3200,"Cle@TB 07:10PM ET",8.667,"TB"
"OF","Mason Williams",3200,"NYY@Tor 07:07PM ET",0,"NYY"
"OF","Joey Rickard",3200,"Bal@Bos 07:10PM ET",8.667,"Bal"
"3B","Juan Uribe",3100,"Cle@TB 07:10PM ET",1.750,"Cle"
"SS","Erick Aybar",3100,"Atl@Was 07:05PM ET",4.667,"Atl"
"SS","Asdrubal Cabrera",3100,"Mia@NYM 07:10PM ET",3.167,"NYM"
"1B/C","Stephen Vogt",3100,"LAA@Oak 10:05PM ET",4.571,"Oak"
"3B/OF","Derek Dietrich",3100,"Mia@NYM 07:10PM ET",4.667,"Mia"
"2B/SS","Daniel Descalso",3100,"SF@Col 08:40PM ET",0,"Col"
"1B","Justin Smoak",3100,"NYY@Tor 07:07PM ET",2.000,"Tor"
"1B","Brett Wallace",3100,"SD@Phi 07:05PM ET",0.000,"SD"
"2B/SS","Ehire Adrianza",3100,"SF@Col 08:40PM ET",3.167,"SF"
"OF","Tyler Naquin",3100,"Cle@TB 07:10PM ET",1.667,"Cle"
"OF","Eury Pérez",3100,"KC@Hou 08:10PM ET",0,"Hou"
"OF","Odubel Herrera",3100,"SD@Phi 07:05PM ET",6.143,"Phi"
"C","Cameron Rupp",3100,"SD@Phi 07:05PM ET",4.500,"Phi"
"OF","Travis Jankowski",3100,"SD@Phi 07:05PM ET",1.833,"SD"
"3B","Adonis Garcia",3100,"Atl@Was 07:05PM ET",7.500,"Atl"
"OF","Michael Conforto",3100,"Mia@NYM 07:10PM ET",6.167,"NYM"
"C","Robinson Chirinos",3000,"Tex@Sea 10:10PM ET",6.200,"Tex"
"OF","Franklin Gutiérrez",3000,"Tex@Sea 10:10PM ET",2.400,"Sea"
"1B/OF","Kyle Blanks",3000,"SF@Col 08:40PM ET",0,"SF"
"OF","Nolan Reimold",3000,"Bal@Bos 07:10PM ET",5.500,"Bal"
"1B/OF","Steve Pearce",3000,"Cle@TB 07:10PM ET",2.750,"TB"
"OF","Peter Bourjos",3000,"SD@Phi 07:05PM ET",4.000,"Phi"
"OF","Cedric Hunter",3000,"SD@Phi 07:05PM ET",3.000,"Phi"
"OF","Desmond Jennings",3000,"Cle@TB 07:10PM ET",5.600,"TB"
"OF","Domonic Brown",3000,"NYY@Tor 07:07PM ET",0,"Tor"
"3B/SS","Marwin González",3000,"KC@Hou 08:10PM ET",1.167,"Hou"
"2B","Jimmy Paredes",3000,"Bal@Bos 07:10PM ET",0,"Bal"
"SS","Freddy Galvis",3000,"SD@Phi 07:05PM ET",4.857,"Phi"
"1B/OF","Daniel Nava",3000,"LAA@Oak 10:05PM ET",2.833,"LAA"
"2B","Logan Forsythe",3000,"Cle@TB 07:10PM ET",6.667,"TB"
"2B","Danny Espinosa",3000,"Atl@Was 07:05PM ET",4.600,"Was"
"3B","Eric Campbell",3000,"Mia@NYM 07:10PM ET",0.000,"NYM"
"C","Josh Phegley",3000,"LAA@Oak 10:05PM ET",6.667,"Oak"
"1B","Justin Bour",3000,"Mia@NYM 07:10PM ET",6.500,"Mia"
"2B","César Hernández",3000,"SD@Phi 07:05PM ET",8.167,"Phi"
"C","J.T. Realmuto",3000,"Mia@NYM 07:10PM ET",7.600,"Mia"
"OF","Kevin Kiermaier",3000,"Cle@TB 07:10PM ET",5.500,"TB"
"2B/3B","Cory Spangenberg",3000,"SD@Phi 07:05PM ET",9.571,"SD"
"2B/SS","José Ramírez",3000,"Cle@TB 07:10PM ET",7.667,"Cle"
"OF","Nomar Mazara",3000,"Tex@Sea 10:10PM ET",15.000,"Tex"
"3B","Héctor Olivera",3000,"Atl@Was 07:05PM ET",4.000,"Atl"
"C","A.J. Pierzynski",2900,"Atl@Was 07:05PM ET",3.500,"Atl"
"OF","Coco Crisp",2900,"LAA@Oak 10:05PM ET",7.714,"Oak"
"2B","Omar Infante",2900,"KC@Hou 08:10PM ET",5.000,"KC"
"2B/OF","Kelly Johnson",2900,"Atl@Was 07:05PM ET",1.400,"Atl"
"C","Geovany Soto",2900,"LAA@Oak 10:05PM ET",3.000,"LAA"
"OF","Alejandro De Aza",2900,"Mia@NYM 07:10PM ET",1.167,"NYM"
"C","Ryan Hanigan",2900,"Bal@Bos 07:10PM ET",2.000,"Bos"
"C","Carlos Corporán",2900,"NYY@Tor 07:07PM ET",0,"NYY"
"OF","Seth Smith",2900,"Tex@Sea 10:10PM ET",4.857,"Sea"
"2B","Stephen Drew",2900,"Atl@Was 07:05PM ET",0.000,"Was"
"1B","Dae-Ho Lee",2900,"Tex@Sea 10:10PM ET",2.667,"Sea"
"OF","Paulo Orlando",2900,"KC@Hou 08:10PM ET",4.333,"KC"
"1B","Logan Morrison",2900,"Cle@TB 07:10PM ET",0.833,"TB"
"OF","Jon Jay",2900,"SD@Phi 07:05PM ET",8.571,"SD"
"C","Roberto Pérez",2900,"Cle@TB 07:10PM ET",0,"Cle"
"OF","Ezequiel Carrera",2900,"NYY@Tor 07:07PM ET",1.667,"Tor"
"1B","Ike Davis",2900,"Tex@Sea 10:10PM ET",0,"Tex"
"C","Caleb Joseph",2900,"Bal@Bos 07:10PM ET",4.500,"Bal"
"2B/SS","Wilmer Flores",2900,"Mia@NYM 07:10PM ET",1.000,"NYM"
"3B/OF","Cody Asche",2900,"SD@Phi 07:05PM ET",0,"Phi"
"OF/SS","Brad Miller",2900,"Cle@TB 07:10PM ET",1.800,"TB"
"2B","Jace Peterson",2900,"Atl@Was 07:05PM ET",1.600,"Atl"
"SS","J.J. Hardy",2800,"Bal@Bos 07:10PM ET",5.000,"Bal"
"2B/3B","Andrés Blanco",2800,"SD@Phi 07:05PM ET",4.000,"Phi"
"OF","Sam Fuld",2800,"LAA@Oak 10:05PM ET",0,"Oak"
"2B/SS","Cliff Pennington",2800,"LAA@Oak 10:05PM ET",5.667,"LAA"
"C","Josh Thole",2800,"NYY@Tor 07:07PM ET",4.667,"Tor"
"OF","Chris Coghlan",2800,"LAA@Oak 10:05PM ET",3.857,"Oak"
